Primer	Strategy	Color(s)	Deck Name	List	Commander(s)	Description	CI#	Discord	Curator(s)
X	2	Grixis (UBR)	Grixis Consultation	http://tappedout.net/mtg-decks/consultation-kess-a-primer/	Kess, Dissident Mage	A midrange Laboratory Maniac list which is exceptionally difficult to stax out.	17	https://discord.gg/NeP6sAs	Sugandaraja, neosloth, tw0handt0uch, Redshift
	1	Grixis (UBR)	Grixis Twin	https://tappedout.net/mtg-decks/17-09-16-grixis-twin/	Kess, Dissident Mage	A Kiki-Jiki/Lab maniac reanimator list which uses Kess to flashback utility cards wincons	17	https://discord.gg/QtSQaA5	infiniteimoc, Sugandaraja
	1	Grixis (UBR)	Kess Storm	https://tappedout.net/mtg-decks/grixis-flux-1/	Kess, Dissident Mage	A Grixis Ad Naus/Doomsday storm list which uses Kess to grind value via flashback.	17	https://discord.gg/NeP6sAs	Wedge, Sigi
	1	Jund (BRG)	Food Chain Prossh	https://tappedout.net/mtg-decks/19-07-16-food-chain-prossh/	Prossh, Skyraider of Kher	A fast deck which combos using Food Chain, with good matchups vs control/stax.	18	https://discord.gg/xFPmD2E	Riku, angelforge, Chemtails
	1	Abzan (WBG)	Bad Farm	http://tappedout.net/mtg-decks/bad-farm/	Tymna / Ikra Shidiqi	An Ad Nauseam focused combo list which leverages lifegain for better storm turns.	20		Leptys
X	1	Sultai (BGU)	SBT Grave Combos	https://tappedout.net/mtg-decks/a-heart-three-sizes-too-small-turn-1-win-copy/	Sidisi, Brood Tyrant	A deck which uses Hulk, Food Chain, Nooze, and Hermit Druid to win with its graveyard.	23	https://discord.gg/7nUTaXa	Lilbrudder, Sigi, Voidia
	3	Sultai (BGU)	Scepter Control	http://tappedout.net/mtg-decks/20-04-17-scepter-control/	Tasigur, the Golden Fang	A control deck which uses Tasigur as a source of political recursion for relevant removal.	23	https://discord.gg/ERMTuyP	Shaper
X	3	Sultai (BGU)	Seasons Pastigur	http://tappedout.net/mtg-decks/tasigur-seasons-past-season-pastigur/	Tasigur, the Golden Fang	A control variant of Tasigur which sports a nausless curve with additional subthemes.	23	https://discord.gg/ERMTuyP	Cameron_Labmaniac
	2	Sultai (BGU)	Mimeo Reanimator Hulk	http://tappedout.net/mtg-decks/19-09-16-the-mimeoplasm-edh/	The Mimeoplasm	A Protean Hulk/Reanimator deck which uses Mimeoplasm as a backup reanimator.	23	https://discord.gg/zsePv5T	Monkeryz, BigLupu
X	1	Mardu (RWB)	Mad Farm	http://tappedout.net/mtg-decks/mad-farm/	Tymna / Bruse Tarl	An Ad Nauseam focused combo list which leverages lifegain for better storm turns.	24		RiverMayCry
X	1	Temur (GUR)	Harvest Animar	https://tappedout.net/mtg-decks/harvest-animar/	Animar, Soul of Elements	A combo deck which uses a unique suite of combos with Animar's discount ability.	25	https://discord.gg/BXgec3K	Shaper, JMCraig, bunbunfriedrice
	1	Sans-Green (WUBR)	Breya Consultation	http://tappedout.net/mtg-decks/shaper-taint/	Breya, Etherium Shaper	An aggressive Consultation + Iso Reversal + bombermanlist which runs few dead cards.	26		Sugandaraja
X	1	Sans-Green (WUBR)	Doomsday Breya	http://tappedout.net/mtg-decks/breya-ad-naus/	Breya, Etherium Shaper	A split reanimator/Doomsday list centered around Bomberman, WGD, and Doomsday.	26		mmcgeach
X	2	Sans-Green (WUBR)	Kraum's MANly Combo	http://tappedout.net/mtg-decks/16-11-17-troll-deck/	Tymna / Kraum	A sans-green version of Midrange Ad-Naus, with asymmetrical hate pieces and stormy bits	26	https://discord.gg/9AwgYgs	Lilbrudder
X	1	Sans-Green (WUBR)	Opus Thief	http://tappedout.net/mtg-decks/opus-thief/	Tymna / Kraum	A storm deck which uses wheels and cards which form soft combos with wheels	26	https://discord.gg/rSCVQB7	Shaper
	3	Sans-White (UBRG)	4c Rashmi	https://tappedout.net/mtg-decks/4c-rashmi/	Thrasios / Vial Smasher	A control deck which transforms the PST package into a slow, lategame Rashmi-like	27	https://discord.gg/5vvVsTu	Sigi, Sickrobot
X	1	Sans-White (UBRG)	BUGR Paradox Scepter	http://tappedout.net/mtg-decks/thrasios-eggs-prototype-copy/	Thrasios / Vial Smasher	A stormish deck which focuses on using Thrasios as both a noninfinite and infinite sink.	27	https://discord.gg/YGsZTu	Lilbrudder, buildingadeck
	3	Sans-White (UBRG)	Divergent Control	https://tappedout.net/mtg-decks/bugr-divergent-control/	Thrasios / Vial Smasher	A control deck that utilizes the namesake card as an instant speed, compact wincon.	27		Sigi, tw0handt0uch
	1	Sans-White (UBRG)	Doomsday Yidris	http://tappedout.net/mtg-decks/yidris-stormdoomsday-20/	Yidris, Maelstrom Wielder	A Doomsday Storm list which uses Yidris as a unique command-zone pile cracker.	27		Sigi, Dandelion, Shaper, Sleepy
X	1	Sans-White (UBRG)	Melt Banana	http://tappedout.net/mtg-decks/melt-banana/	Yidris, Maelstrom Wielder	A Yidris Storm list which is built around Ad Nauseam, Past in Flames, and Yidris cascades.	27		JimWolfie
	1	Sans-White (UBRG)	Nooze Reanimator	http://tappedout.net/mtg-decks/4c-necrotic-ooze-brewsday-112216/	Thrasios / Vial Smasher	A fast reanimator deck which centers around Necrotic Ooze, Razaketh, and Jin-Gitaxias.	27	https://discord.gg/YGsZTu	tw0handt0uch
X	3	Sans-Blue (BRGW)	Blood Pod	http://tappedout.net/mtg-decks/tana-and-tymna-blood-pod-primer/	Tymna / Tana	A hatebears/stax deck with a reanimator subtheme which builds heavy into Tymna.	28	https://discord.gg/q7Ehbgd	Lerker, Labmaniac_Luke
X	3	Sans-Blue (BRGW)	Meta Pod	http://tappedout.net/mtg-decks/meta-pod/	Tymna / Tana	A Blood Pod variant with additional wincons/value in lieu of hard stax/finishers	28	https://discord.gg/q7Ehbgd	Lerker, infiniteimoc
X	2	Sans-Blue (BRGW)	T&T Hulkball	http://tappedout.net/mtg-decks/tymna-tana_the-burlap-sack_threaten-copy-1/	Tymna / Tana	A midrange deck which runs a high density of sac outlets and ways to cheat Hulk into play.	28	https://discord.gg/7nUTaXa	tw0handt0uch
	1	Sans-Red (GWUB)	4c Lightning Druid	https://deckstats.net/decks/50436/1152876-4c-lightning-druid/en	Tymna / Thrasios	An extremely fast combo list which layers Flash Hulk with Razaketh + Breakfast + Druid.	30	https://discord.gg/n8xVUxu	frozeninfate, Average Dragon
	1	Sans-Red (GWUB)	Breakfast Hulk	http://tappedout.net/mtg-decks/breakfast-hulk/	Tymna / Thrasios	A Flash Hulk combo deck layered with Hermit Druid, based around infinitely self-milling.	30	https://discord.gg/n8xVUxu	Sigi, Monkeryz, frozeninfate
	2	Sans-Red (GWUB)	E-MAN	https://tappedout.net/mtg-decks/e-man-1/	Tymna / Thrasios	A sans-red version of Midrange Ad-Naus, with asymmetrical hate pieces and more storm.	30	https://discord.gg/9AwgYgs	biopower
X	2	Sans-Red (GWUB)	HE-MAN	https://tappedout.net/mtg-decks/the-holy-trinity-of-hate-99-casual-copy/	Tymna / Thrasios	A sans-red version of Midrange Ad-Naus, with symmetrical hate pieces and less storm.	30	https://discord.gg/9AwgYgs	Labmaniac_Luke, Lilbrudder, Sigi
	2	Sans-Red (GWUB)	Hulkweaver	https://tappedout.net/mtg-decks/protean-weaver/	Tymna / Thrasios	A slower Flash Hulk combo list which runs multiple backup plans and hatebears.	30	https://discord.gg/gqjbmsD	trestian, Dandelion
X	1	Sans-Red (GWUB)	Paradox Scepter Thrasios	http://tappedout.net/mtg-decks/paradox-scepter-thrasios-1/	Tymna / Thrasios	A stormish deck which focuses on using compact combos that can be adapted for metas.	30	https://discord.gg/DtG4djy	Sleepy, Shaper, Sigi, Sugandaraja
	1	Sans-Red (GWUB)	Rad Farm	http://tappedout.net/mtg-decks/rad-farm/	Tymna / Thrasios	A farm deck revolving around Ad Nauseam and Razaketh assembling Earthcraft combo.	30	https://discord.gg/xbNX4ex	Shaper, Lerker
X	1	Sans-Red (GWUB)	Razakats	http://tappedout.net/mtg-decks/razakats/	Tymna / Thrasios	A reanimator deck featuring Razaketh, which allows for fast wins with few dead cards.	30	https://discord.gg/sgJwnJj	Shaper, Hornager, Wedge
	1	Sans-Red (GWUB)	Shuffle Hulk	https://tappedout.net/mtg-decks/shuffle-hulk/	Tymna / Thrasios	A Flash Hulk combo list which uses normal sac outlets in addition to Flash for layers.	30	https://discord.gg/n8xVUxu	Sickrobot
	1	Five Color (WUBRG)	5c Lightning Druid	https://deckstats.net/decks/50436/1145708-extremespeed-lightning-druid-e	Sliver Queen	An extremely fast combo list which layers Flash Hulk with Hermit Druid + Breakfast.	31	https://discord.gg/n8xVUxu	frozeninfate, Average Dragon
X	1	Five Color (WUBRG)	Food Chain Tazri	http://tappedout.net/mtg-decks/food-chain-tazri/	General Tazri	A fast and consistent combo list which is highly interactive and difficult to shut down.	31	https://discord.gg/B8XPcEz	Shaper, tw0handt0uch, BigLupu
	1	Five Color (WUBRG)	Tazri Hulk	http://tappedout.net/mtg-decks/tazri-hulk-druid/	General Tazri	A fast and resilient layered combo list with Food Chain, Razaketh, and Hulk	31	https://discord.gg/B8XPcEz	biopower
	1	Five Color (WUBRG)	Najeela Hermit Hulk	https://deckstats.net/decks/50436/1091682-najeela-druid-hulk	Najeela, the Blade-Blossom	An 5c breakfast hulk layering Najeela combos for lines that win through grave hate.	31	https://discord.gg/eFed3Yg	frozeninfate
X	2	Five Color (WUBRG)	Najeela Tempo	https://tappedout.net/mtg-decks/warrior-queen-najeela-midrangetempo-cedh-primer/	Najeela, the Blade-Blossom	A midrange combat-focus build with lots of interaction pieces.	31	https://discord.gg/eFed3Yg	tw0handt0uch, pongo_pygmaeu5, Rick
	1	Five Color (WUBRG)	Scion Reanimator	https://tappedout.net/mtg-decks/18-12-18-scion-reanimator/	Scion of the Ur-Dragon	5c reanimator focusing on Worldgorger Dragon and Razaketh	31	https://discord.gg/xbNX4ex	Shaper
